# Rime user dictionary
#@/db_name	withdewhua.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	31290
#@/user_id	withdewhua-win
a 	啊	c=189 d=8.54227 t=31290
chong dong 	衝動	c=0 d=0.000810722 t=31290
chong dong shi mo gui 	衝動是魔鬼	c=1 d=0.00814786 t=31290
chong fa 	重發	c=1 d=0.0443785 t=31290
chong fen 	充分	c=3 d=0.0508091 t=31290
chong fu 	重複	c=5 d=0.0409354 t=31290
chong ge 	充個	c=1 d=0.00719046 t=31290
chong gou 	重構	c=2 d=0.566761 t=31290
chong gou le 	重構了	c=1 d=1 t=30819
chong hao 	充好	c=0 d=2.60628e-06 t=31290
chong hao le 	充好了	c=1 d=2.61935e-05 t=31290
chong ji 	衝擊	c=1 d=0.965605 t=31290
chong jin qu 	衝進去	c=1 d=0.351692 t=31290
chong lang 	衝浪	c=1 d=0.000984858 t=31290
chong man 	充滿	c=0 d=0.000900478 t=31290
chong man zhe 	充滿着	c=2 d=0.480476 t=31290
chong ming ming 	重命名	c=1 d=6.16221e-11 t=31290
chong qi 	重啓	c=6 d=0.798612 t=31290
chong qian 	充錢	c=3 d=1.34011 t=31290
chong qie 	衝切	c=2 d=0.235322 t=31290
chong shi 	充實	c=1 d=0.444858 t=31290
chong shua 	重刷	c=1 d=4.44163e-12 t=31290
chong tu 	衝突	c=2 d=0.235912 t=31290
chong tu yu 	衝突域	c=9 d=0.340941 t=31290
chong xin 	重新	c=19 d=1.65905 t=31290
chong xin bu shu 	重新部署	c=2 d=1.28722 t=31290
chong xin fa qi 	重新發起	c=1 d=0.0409665 t=31290
chong xin fen zu 	重新分組	c=1 d=0.000376347 t=31290
chong xin jia hui lai 	重新加回來	c=1 d=2.99274e-14 t=31290
chong xin jin lai le 	重新進來了	c=1 d=0.00126207 t=31290
chong zhi 	充值	c=4 d=0.625771 t=31290
chong zhi 	重置	c=9 d=0.40205 t=31290
chong zhi guo 	重置過	c=1 d=0.0590129 t=31290
chong zhi ka 	充值卡	c=0 d=0.0299692 t=31290
chong zhi le 	重置了	c=2 d=0.0626717 t=31290
chong zhi mi ma hou 	重置密碼後	c=1 d=0.000608204 t=31290
chong zu 	重組	c=2 d=1.117 t=31290
chou 	臭	c=0 d=0.0509156 t=31290
chou bu yao lian 	臭不要臉	c=1 d=0.511709 t=31290
chou feng 	抽風	c=1 d=0.386741 t=31290
chou jiang 	抽獎	c=0 d=0.000144449 t=31290
chou le 	抽了	c=1 d=1.4073e-49 t=31290
chou wen 	醜聞	c=2 d=0.699884 t=31290
chu 	出	c=12 d=1.66781 t=31290
chu 	初	c=3 d=0.071177 t=31290
chu 	處	c=9 d=0.916408 t=31290
chu 	除	c=1 d=0.519442 t=31290
chu bu 	初步	c=8 d=2.30228 t=31290
chu bu fen xi 	初步分析	c=1 d=0.0298969 t=31290
chu bu liao 	出不了	c=1 d=0.927743 t=31290
chu cao 	鋤草	c=1 d=0.496585 t=31290
chu chang 	出場	c=0 d=0.0701173 t=31290
chu chang 	出廠	c=0 d=0.0798516 t=31290
chu cun 	儲存	c=1 d=0.00554422 t=31290
chu cuo 	出錯	c=2 d=0.744532 t=31290
chu dao 	觸到	c=0 d=0.0965605 t=31290
chu dao le 	觸到了	c=1 d=0.970446 t=31290
chu de 	出的	c=1 d=2.10996e-49 t=31290
chu de hua 	出的話	c=1 d=0.67032 t=31290
chu fa 	出發	c=1 d=0.258035 t=31290
chu fa 	觸發	c=1 d=0.000376347 t=31290
chu fa a 	出發啊	c=1 d=0.00275318 t=31290
chu fa le 	出發了	c=1 d=0.449329 t=31290
chu fa le 	觸發了	c=1 d=0.000389752 t=31290
chu fei 	除非	c=1 d=1.91157e-05 t=31290
chu gao 	初稿	c=4 d=0.571209 t=31290
chu gao zhong 	初高中	c=1 d=0.715338 t=31290
chu gei ni suan le 	出給你算了	c=1 d=0.657047 t=31290
chu gui 	出軌	c=0 d=1.57671e-05 t=31290
chu gui le a 	出軌了啊	c=1 d=0.000158461 t=31290
chu he 	鋤禾	c=3 d=0.831104 t=31290
chu jie kou 	出接口	c=1 d=0.0183156 t=31290
chu kou 	出口	c=0 d=0.101648 t=31290
chu kou de 	出口的	c=1 d=0.491644 t=31290
chu kou ji qi 	出口機器	c=1 d=0.529935 t=31290
chu lai 	出來	c=10 d=0.412429 t=31290
chu lai hou 	出來後	c=1 d=0.0285814 t=31290
chu lai le 	出來了	c=2 d=0.477114 t=31290
chu lai mei a 	出來沒啊	c=1 d=0.0163259 t=31290
chu lai mei ya 	出來沒呀	c=1 d=0.268474 t=31290
chu lai ni zi ji hui jia 	出來你自己回家	c=1 d=2.55468e-05 t=31290
chu le 	出了	c=4 d=1.04304 t=31290
chu le 	除了	c=14 d=0.60266 t=31290
chu le dian 	出了點	c=1 d=0.0575558 t=31290
chu le zai jia li 	出了在家裏	c=1 d=0.516851 t=31290
chu li 	處理	c=40 d=0.955675 t=31290
chu li fen zu 	處理分組	c=1 d=0.167797 t=31290
chu li guo cheng 	處理過程	c=1 d=0.000114493 t=31290
chu li guo hou 	處理過後	c=1 d=0.0205478 t=31290
chu li hou 	處理後	c=2 d=0.755784 t=31290
chu li liu cheng 	處理流程	c=1 d=1 t=29121
chu men 	出門	c=1 d=0.0859313 t=31290
chu mo ban 	觸摸板	c=2 d=0.978674 t=31290
chu pin 	出品	c=1 d=0.194952 t=31290
chu pin de 	出品的	c=1 d=0.327915 t=31290
chu qi 	初期	c=1 d=0.0298197 t=31290
chu qu 	出去	c=3 d=0.044857 t=31290
chu qu chi fan 	出去吃飯	c=1 d=0.00022263 t=31290
chu qu wan 	出去玩	c=0 d=0.1 t=28251
chu qu zhe me 	出去這麼	c=1 d=0.0784731 t=31290
chu qu zou zou 	出去走走	c=0 d=0.0429557 t=31290
chu se 	出色	c=1 d=1.90484e-07 t=31290
chu shan 	出山	c=1 d=0.470011 t=31290
chu shen 	出身	c=1 d=0.339596 t=31290
chu shi 	初始	c=3 d=1.17529 t=31290
chu shi bu li 	出師不利	c=1 d=0.0858632 t=31290
chu shi hua 	初始化	c=7 d=1.11993 t=31290
chu shou 	出售	c=1 d=0.71177 t=31290
chu tou 	出頭	c=1 d=1 t=31282
chu wan 	出完	c=0 d=0.0344728 t=31290
chu wan le 	出完了	c=1 d=0.346456 t=31290
chu wen ti 	出問題	c=3 d=0.423564 t=31290
chu wen ti le 	出問題了	c=1 d=0.690734 t=31290
chu xian 	出現	c=17 d=0.946485 t=31290
chu xian le 	出現了	c=2 d=0.225542 t=31290
chu xiao ji 	出小雞	c=1 d=0.882497 t=31290
chu xing 	雛形	c=1 d=6.39496e-06 t=31290
chu yu 	處於	c=2 d=0.749716 t=31290
chu zhong 	初中	c=1 d=0.650509 t=31290
chuan 	串	c=1 d=1 t=29996
chuan 	傳	c=1 d=0.0946485 t=31290
chuan 	穿	c=0 d=0.00450492 t=31290
chuan 	船	c=1 d=0.332871 t=31290
chuan bo 	傳播	c=0 d=0.00761538 t=31290
chuan cai 	川菜	c=0 d=0.0216536 t=31290
chuan chuan 	串串	c=1 d=0.382893 t=31290
chuan di 	傳遞	c=1 d=0.0808629 t=31290
chuan guo 	穿過	c=1 d=0.0735345 t=31290
chuan kou fu wu qi 	串口服務器	c=1 d=0.000411789 t=31290
chuan le 	傳了	c=1 d=0.323033 t=31290
chuan le ma 	傳了嗎	c=1 d=0.951229 t=31290
chuan pu 	川譜	c=2 d=0.518713 t=31290
chuan ren 	傳人	c=0 d=0.0722527 t=31290
chuan ren 	川人	c=1 d=0.217584 t=31290
chuan ren chuan cai 	川人川菜	c=5 d=0.737899 t=31290
chuan shu 	傳輸	c=18 d=0.40496 t=31290
chuan shu ceng 	傳輸層	c=7 d=1.2969 t=31290
chuan shu fang an 	傳輸方案	c=1 d=1.05489e-11 t=31290
chuan shu fang shi 	傳輸方式	c=4 d=0.0713613 t=31290
chuan shu gei 	傳輸給	c=1 d=3.64343e-05 t=31290
chuan shu guo cheng 	傳輸過程	c=1 d=0.0478349 t=31290
chuan shu ji shu 	傳輸技術	c=1 d=0.021068 t=31290
chuan shu le 	傳輸了	c=1 d=0.0278757 t=31290
chuan shu lu jing 	傳輸路徑	c=1 d=0.145148 t=31290
chuan shu su du 	傳輸速度	c=3 d=5.53598e-12 t=31290
chuan shu su lv 	傳輸速率	c=2 d=0.0337902 t=31290
chuan song 	傳送	c=1 d=0.0384897 t=31290
chuan song gong lv 	傳送功率	c=1 d=0.031117 t=31290
chuan song le 	傳送了	c=1 d=0.386741 t=31290
chuan tong 	傳統	c=1 d=8.56035e-12 t=31290
chuan tong wu xian tong xin 	傳統無線通信	c=1 d=5.90631e-12 t=31290
chuan tou 	穿透	c=1 d=0.00822975 t=31290
chuan wo 	穿我	c=1 d=0.404542 t=31290
chuan zhe 	穿着	c=0 d=0.00315873 t=31290
chuan zhe hen shu fu 	穿着很舒服	c=1 d=0.0317456 t=31290
chuang 	牀	c=2 d=0.0185117 t=31290
chuang 	窗	c=1 d=0.0781773 t=31290
chuang ge 	創個	c=1 d=0.000110555 t=31290
chuang jian 	創建	c=49 d=6.52051 t=31290
chuang jian hao 	創建好	c=1 d=0.0224829 t=31290
chuang jian hao 	創建號	c=1 d=8.27241e-05 t=31290
chuang jian le 	創建了	c=1 d=0.946485 t=31290
chuang jian ru kou 	創建入口	c=1 d=0.0211736 t=31290
chuang jian yi ge 	創建一個	c=1 d=0.0271874 t=31290
chuang kou 	窗口	c=5 d=0.98916 t=31290
chuang kou da xiao 	窗口大小	c=1 d=0.0254765 t=31290
chuang pu 	牀鋪	c=1 d=0.255381 t=31290
chuang shang 	牀上	c=1 d=0.11475 t=31290
chuang xin 	創新	c=1 d=0.0195457 t=31290
chuang zao 	創造	c=1 d=0.522046 t=31290
chui 	吹	c=0 d=0.00133665 t=31290
chui zhi 	垂直	c=0 d=9.7362e-11 t=31290
chui zhi sheng lve hao 	垂直省略號	c=1 d=9.785e-10 t=31290
chun 	春	c=0 d=0.0436049 t=31290
chun 	純	c=3 d=0.348192 t=31290
chun jie 	春節	c=1 d=0.553995 t=31290
chun jie huo dong yi kai qi 	春節活動已開啓	c=1 d=0.501576 t=31290
chun se 	春色	c=1 d=0.0217096 t=31290
chun sha ren 	春砂仁	c=1 d=0.774916 t=31290
chun ye 	春夜	c=5 d=1.40307 t=31290
chun zhao 	春招	c=3 d=1.15296 t=31290
ci 	次	c=5 d=0.740818 t=31290
ci 	此	c=3 d=0.421148 t=31290
ci dian 	詞典	c=3 d=2.06761 t=31290
ci fang 	次方	c=1 d=0.00154923 t=31290
ci ji 	刺激	c=1 d=0.0372542 t=31290
ci ji chu shang 	此基礎上	c=1 d=0.000978001 t=31290
ci ji tu 	刺激圖	c=1 d=1.59804e-15 t=31290
ci ke 	刺客	c=1 d=0.0288686 t=31290
ci ku 	詞庫	c=17 d=10.0449 t=31290
ci ku wen jian 	詞庫文件	c=1 d=0.733447 t=31290
ci ku zeng qiang bao 	詞庫增強包	c=1 d=0.748264 t=31290
ci ku zhuan huan 	詞庫轉換	c=1 d=0.852144 t=31290
ci pan 	磁盤	c=5 d=1.84153 t=31290
ci qing kuang xia 	次情況下	c=1 d=2.91885e-14 t=31290
ci shi 	此時	c=6 d=0.853998 t=31290
ci tie 	瓷貼	c=2 d=0.0930145 t=31290
ci wai 	此外	c=1 d=0.00121259 t=31290
ci wei 	此爲	c=2 d=0.00680566 t=31290
ci wen ti 	此問題	c=1 d=0.00149056 t=31290
ci xuan 	次選	c=1 d=0.0037164 t=31290
ci zhong 	此種	c=1 d=1.20093e-07 t=31290
cong 	從	c=28 d=1.38279 t=31290
cong bie de 	從別的	c=1 d=0.130029 t=31290
cong er 	從而	c=16 d=1.21326 t=31290
cong er jiang di 	從而降低	c=1 d=8.10998e-07 t=31290
cong ge zhong 	從各種	c=1 d=1 t=30620
cong lai mei 	從來沒	c=0 d=0.00652193 t=31290
cong lai mei chang shi guo 	從來沒嘗試過	c=1 d=1.25015e-09 t=31290
cong lai mei guan cha guo zhe ge 	從來沒觀察過這個	c=1 d=0.0655462 t=31290
cong li lun 	從理論	c=1 d=0.0837432 t=31290
cong mei yong guo 	從沒用過	c=1 d=0.346456 t=31290
cong ming 	聰明	c=1 d=0.035437 t=31290
cong na 	從哪	c=2 d=0.379339 t=31290
cong shang dao xia 	從上到下	c=1 d=0.000724521 t=31290
cong shang er xia 	從上而下	c=1 d=0.000322309 t=31290
cong wo 	從我	c=1 d=0.398519 t=31290
cong zhong 	從中	c=1 d=2.93249e-10 t=31290
cong zui kai shi 	從最開始	c=1 d=0.240508 t=31290
cou 	湊	c=0 d=0.00384026 t=31290
cou fen zi 	湊份子	c=0 d=0.000165327 t=31290
cou fen zi qian de le 	湊份子錢的了	c=1 d=0.00166156 t=31290
cou ge re nao 	湊個熱鬧	c=1 d=0.0340475 t=31290
cou he 	湊合	c=1 d=0.0383884 t=31290
cou re nao 	湊熱鬧	c=1 d=0.171871 t=31290
cou ren tou 	湊人頭	c=1 d=0.00474815 t=31290
cou shu 	湊數	c=0 d=0.00359725 t=31290
cou shu de 	湊數的	c=1 d=0.0361528 t=31290
cpu 	CPU	c=1 d=0.000131698 t=31290
css 	CSS	c=22 d=2.96237 t=31290
cu bao 	粗暴	c=2 d=0.0209629 t=31290
cu jin 	促進	c=0 d=0.0357007 t=31290
cu jin zi ji 	促進自己	c=1 d=0.358796 t=31290
cu shi 	促使	c=1 d=0.447088 t=31290
cun 	存	c=1 d=0.0506617 t=31290
cun 	寸	c=3 d=2.35277 t=31290
cun bu liao 	存不了	c=1 d=0.00100779 t=31290
cun chu 	存儲	c=3 d=0.187308 t=31290
cun dang 	存檔	c=0 d=0.000255424 t=31290
cun fang 	存放	c=2 d=0.353455 t=31290
cun huo 	存貨	c=1 d=0.0471227 t=31290
cun jian 	寸間	c=1 d=0.00286554 t=31290
cun ru 	存入	c=1 d=1 t=29861
cun zai 	存在	c=15 d=1.26007 t=31290
cun zai de 	存在的	c=2 d=0.000504176 t=31290
cun zai gan 	存在感	c=1 d=0.0309618 t=31290
cun zai zhe 	存在着	c=2 d=0.10435 t=31290
cuo 	錯	c=2 d=0.0995012 t=31290
cuo bie zi 	錯別字	c=0 d=0.00490458 t=31290
cuo guo 	錯過	c=0 d=0.0460704 t=31290
cuo guo le 	錯過了	c=1 d=0.112478 t=31290
cuo guo le yi dun 	錯過了一頓	c=1 d=0.463013 t=31290
cuo jue 	錯覺	c=1 d=0.00514361 t=31290
cuo le 	錯了	c=1 d=0.107308 t=31290
cuo shao hai bu 	錯少還不	c=1 d=1 t=31290
cuo wu 	錯誤	c=17 d=1.40861 t=31290
cuo wu dai ma 	錯誤代碼	c=2 d=4.34463e-09 t=31290
cuo wu li jie 	錯誤理解	c=1 d=7.79066e-05 t=31290
da 	噠	c=0 d=0.0980199 t=31290
da 	大	c=7 d=1.0431 t=31290
da 	打	c=3 d=1.75391 t=31290
da 	搭	c=0 d=0.0236928 t=31290
da 	達	c=0 d=0.00575558 t=31290
da an 	答案	c=3 d=0.616694 t=31290
da ban 	大半	c=0 d=0.0085435 t=31290
da ban ye 	大半夜	c=1 d=0.0858631 t=31290
da bao 	大包	c=2 d=0.0332292 t=31290
da bao 	大寶	c=1 d=0.000939653 t=31290
da bao 	打包	c=0 d=0.00409665 t=31290
da bao zha 	大爆炸	c=1 d=0.054807 t=31290
da bian 	答辯	c=3 d=0.936846 t=31290
da biao 	達標	c=1 d=0.084163 t=31290
da biao qian 	打標籤	c=1 d=0.687289 t=31290
da bu fen 	大部分	c=5 d=0.729789 t=31290
da bu fen xu qiu 	大部分需求	c=1 d=0.591555 t=31290
da bu kai 	打不開	c=2 d=0.289393 t=31290
da bu kai de qing kuang 	打不開的情況	c=1 d=0.0792617 t=31290
da ci dian 	大詞典	c=1 d=0.831104 t=31290
da da 	大大	c=4 d=0.254107 t=31290
da da ti gao 	大大提高	c=0 d=0.000318278 t=31290
da da ti gao le 	大大提高了	c=1 d=0.00319873 t=31290
da dao 	達到	c=14 d=0.543351 t=31290
da dao le 	達到了	c=1 d=1.09529e-12 t=31290
da dao zui jia 	達到最佳	c=1 d=4.57612e-10 t=31290
da de 	打的	c=1 d=0.392586 t=31290
da dian hua 	打電話	c=1 d=0.114764 t=31290
da dou 	打鬥	c=1 d=0.0439369 t=31290
da dui 	大隊	c=1 d=1.04692e-10 t=31290
da duo shu 	大多數	c=4 d=0.67368 t=31290
da fa 	大法	c=1 d=0.0178634 t=31290
da fa de 	大法的	c=1 d=0.00138785 t=31290
da fa hao 	大法好	c=1 d=1.18325e-09 t=31290
da gai 	大概	c=6 d=0.958406 t=31290
da gai duo shao qian 	大概多少錢	c=1 d=0.0837432 t=31290
da gai lv 	大概率	c=2 d=0.311189 t=31290
da gai shen me jia wei 	大概什麼價位	c=1 d=0.67368 t=31290
da gai suan shi 	大概算是	c=1 d=1 t=30791
da gai you 	大概有	c=0 d=0.000941925 t=31290
da gai you ge 	大概有個	c=1 d=0.00946646 t=31290
da ge 	大哥	c=2 d=0.8758 t=31290
da ge 	打個	c=2 d=0.182894 t=31290
da ge da 	大哥大	c=1 d=0.000930303 t=31290
da gong si 	大公司	c=3 d=0.325162 t=31290
da gu 	大姑	c=1 d=0.0916297 t=31290
da gui mo 	大規模	c=1 d=3.70996e-12 t=31290
da hao shi guang 	大好時光	c=1 d=0.951229 t=31290
da he 	大盒	c=1 d=3.25659e-08 t=31290
da hu lu 	打呼嚕	c=0 d=0.0470011 t=31290
da hui 	大會	c=1 d=0.0288686 t=31290
da huo 	大火	c=0 d=0.0349938 t=31290
da ji 	打擊	c=0 d=0.0470011 t=31290
da ji chang 	大機場	c=1 d=1 t=31047
da ji shen xian 	打擊神線	c=2 d=0.746964 t=31290
da jia 	大家	c=6 d=0.630995 t=31290
da jia hao 	大家好	c=1 d=0.0614212 t=31290
da jia ji ge yi qi 	大家幾個一起	c=1 d=1 t=28428
da jia ken ding hui ji ji bang mang de 	大家肯定會積極幫忙的	c=1 d=0.0466538 t=31290
da jia yi qi 	大家一起	c=1 d=1.03965 t=28436
da jia yi qi chu qu wan 	大家一起出去玩	c=1 d=1 t=28252
da jian 	搭建	c=6 d=1.63338 t=31290
da jian le 	搭建了	c=1 d=0.0372538 t=31290
da ka 	打卡	c=1 d=0.40657 t=31290
da kai 	打開	c=36 d=1.67459 t=31290
da kai hou 	打開後	c=1 d=0.00127476 t=31290
da kai le 	打開了	c=1 d=1 t=28670
da kai ni zi ji 	打開你自己	c=1 d=0.118837 t=31290
da kai shi 	打開時	c=1 d=0.351692 t=31290
da kai wang ye 	打開網頁	c=0 d=0.0360595 t=31290
da kai wang ye ban 	打開網頁版	c=1 d=0.362402 t=31290
da ke shui 	打瞌睡	c=1 d=0.585669 t=31290
da kong 	打孔	c=0 d=0.000148106 t=31290
da kong ping 	打孔屏	c=1 d=0.00148848 t=31290
da lan qiu 	打籃球	c=1 d=0.0407622 t=31290
da lao 	大佬	c=22 d=2.21361 t=31290
da lao bie nao 	大佬別鬧	c=1 d=0.031273 t=31290
da lao de 	大佬的	c=2 d=0.960789 t=31290
da lao hao 	大佬好	c=1 d=0.0323869 t=31290
da le 	大了	c=1 d=0.447088 t=31290
da le 	打了	c=1 d=0.113042 t=31290
da le dian hua 	打了電話	c=1 d=0.210136 t=31290
da le zhe ge 	搭了這個	c=1 d=0.238115 t=31290
da liang 	大量	c=2 d=0.179964 t=31290
da liang de 	大量的	c=1 d=0.292293 t=31290
da lou 	大樓	c=2 d=0.0767807 t=31290
da lu 	大陸	c=3 d=0.688689 t=31290
da lve 	大略	c=1 d=1.6371e-05 t=31290
da ma 	打碼	c=2 d=0.757008 t=31290
da nao 	大腦	c=3 d=0.863767 t=31290
da niu 	大牛	c=0 d=0.0364219 t=31290
da niu shuang pin 	大牛雙拼	c=1 d=0.366045 t=31290
da pan 	大盤	c=0 d=0.0110803 t=31290
da qiang 	大強	c=0 d=0.0204948 t=31290
da qiu 	打球	c=1 d=0.433874 t=31290
da qiu zhang 	大酋長	c=7 d=1.48778 t=31290
da qun 	大羣	c=0 d=0.00982736 t=31290
da qun le 	大羣了	c=1 d=0.0987662 t=31290
da rao 	打擾	c=0 d=0.00072265 t=31290
da rao le 	打擾了	c=1 d=0.00726273 t=31290
da ren wu 	大人物	c=1 d=0.00806679 t=31290
da sao wei sheng 	打掃衛生	c=1 d=0.45612 t=31290
da sha 	大廈	c=0 d=0.0149569 t=31290
da shang 	打賞	c=1 d=0.10263 t=31290
da shi 	大師	c=9 d=0.754851 t=31290
da shi ni ke yi ji xu 	大師你可以繼續	c=1 d=0.628135 t=31290
da shu 	大叔	c=1 d=0.946485 t=31290
da si 	大四	c=1 d=0.548812 t=31290
da song 	大宋	c=2 d=0.931485 t=31290
da song shao nian zhi 	大宋少年志	c=2 d=1.57036 t=31290
da sun shi 	大損失	c=1 d=0.955997 t=31290
da ti qin 	大提琴	c=1 d=1 t=29505
da wang ka 	大網卡	c=1 d=0.00535353 t=31290
da wei 	大衛	c=0 d=0.0582748 t=31290
da wei fen qi 	大衛芬奇	c=1 d=0.585669 t=31290
da xia 	大俠	c=1 d=0.090718 t=31290
da xia 	打下	c=0 d=0.0532592 t=31290
da xiao 	大小	c=8 d=1.56572 t=31290
da xiao xie 	大小寫	c=1 d=0.621885 t=31290
da xue 	大學	c=6 d=0.652426 t=31290
da xue li 	大學裏	c=1 d=0.0401553 t=31290
da xue sheng 	大學生	c=2 d=0.246597 t=31290
da xue si nian 	大學四年	c=1 d=0.40657 t=31290
da yi ge 	搭一個	c=1 d=1 t=30576
da yin 	打印	c=7 d=1.68753 t=31290
da yin chu lai 	打印出來	c=2 d=1.10606 t=31290
da yin ji 	打印機	c=1 d=0.511709 t=31290
da yin le ma 	打印了嗎	c=1 d=0.718924 t=31290
da ying 	答應	c=0 d=0.0168638 t=31290
da ying le 	答應了	c=1 d=0.169483 t=31290
da yong 	大用	c=1 d=0.0937067 t=31290
da you xi 	打遊戲	c=1 d=0.559898 t=31290
da yu 	大於	c=3 d=0.0889216 t=31290
da yu 	大魚	c=1 d=0.918512 t=31290
da yu deng yu 	大於等於	c=1 d=0.0234005 t=31290
da yuan 	大院	c=0 d=0.0451581 t=31290
da zao 	打造	c=1 d=2.48686e-12 t=31290
da zhi 	大致	c=1 d=1.28202e-11 t=31290
da zhui bu 	大追捕	c=1 d=0.0889216 t=31290
da zi 	打字	c=3 d=0.102662 t=31290
da zi hao lei 	打字好累	c=1 d=0.166127 t=31290
da zu 	大組	c=0 d=0.1 t=28817
da zu qun 	大組羣	c=1 d=1 t=28818
da zuo ye 	大作業	c=5 d=1.96482 t=30531
dai 	代	c=0 d=0.00131019 t=31290
dai 	帶	c=4 d=0.681107 t=31290
dai 	待	c=1 d=0.0974151 t=31290
dai biao 	代表	c=10 d=0.318243 t=31290
dai biao qi 	代表其	c=1 d=0.238115 t=31290
dai biao xing 	代表性	c=1 d=0.285076 t=31290
dai bu chong 	待補充	c=2 d=0.970446 t=31290
dai chong tu jian ce 	帶衝突檢測	c=1 d=0.0812682 t=31290
dai deng zi 	帶凳子	c=1 d=0.0393602 t=31290
dai dian 	帶點	c=2 d=0.540641 t=31290
dai fan 	帶飯	c=1 d=0.856415 t=31290
dai gei 	帶給	c=1 d=0.00183156 t=31290
dai gei wo 	帶給我	c=1 d=8.4467e-15 t=31290
dai gei wo men 	帶給我們	c=1 d=0.156453 t=31290
dai gei zi ji 	帶給自己	c=1 d=0.0184074 t=31290
dai gou 	代購	c=2 d=0.804828 t=31290
dai gou bu zuo le 	代購不做了	c=1 d=0.637628 t=31290
dai gou de 	代購的	c=2 d=1.37118 t=31290
dai gou le 	代購了	c=1 d=0.904837 t=31290
dai gou xia 	代購下	c=2 d=0.843665 t=31290
dai hui 	待會	c=1 d=0.108667 t=31290
dai hui jia 	帶回家	c=0 d=0.000600598 t=31290
dai hui jiu gei ni nong 	待會就給你弄	c=1 d=0.000713734 t=31290
dai hui jiu jia shang 	待會就加上	c=1 d=0.00687406 t=31290
dai hui jiu qu 	待會就去	c=1 d=1 t=29262
dai hui qu jiao ni 	待會去叫你	c=1 d=0.256661 t=31290
dai jia 	代價	c=1 d=0.0166557 t=31290
dai jiu le 	待久了	c=1 d=0.453845 t=31290
dai kuan 	帶寬	c=8 d=0.181133 t=31290
dai kuan tai duo 	帶寬太多	c=1 d=0.045275 t=31290
dai kuan xia 	帶寬下	c=1 d=1.49335e-12 t=31290
dai lai 	帶來	c=3 d=0.105399 t=31290
dai lai de 	帶來的	c=1 d=6.26833e-06 t=31290
dai lai le 	帶來了	c=3 d=1.40308e-06 t=31290
dai le 	帶了	c=1 d=0.00767337 t=31290
dai li 	代理	c=17 d=1.89941 t=31290
dai li fen zu 	代理分組	c=3 d=0.000894915 t=31290
dai li gong xiang 	代理共享	c=3 d=0.144835 t=31290
dai li gui ze 	代理規則	c=2 d=0.00966385 t=31290
dai li mo shi 	代理模式	c=1 d=0.00458484 t=31290
dai li qing qiu 	代理請求	c=1 d=0.00814786 t=31290
dai li ruan jian 	代理軟件	c=3 d=0.32158 t=31290
dai li ruan jian de hua 	代理軟件的話	c=1 d=6.69159e-10 t=31290
dai li yong duo jiu 	代理用多久	c=1 d=0.891366 t=31290
dai ma 	代碼	c=11 d=1.17036 t=31290
dai ma shi xian 	代碼實現	c=1 d=0.524663 t=31290
dai ma zhi qian 	代碼之前	c=2 d=0.905377 t=31290
dai ru 	代入	c=2 d=0.0258326 t=31290
dai shang 	帶上	c=0 d=0.00383884 t=31290
dai shang tu 	帶上圖	c=1 d=0.0385808 t=31290
dai su she gan ma 	待宿舍幹嘛	c=1 d=2.17695e-05 t=31290
dai ti 	代替	c=1 d=0.000163287 t=31290
dai tian jia 	帶添加	c=1 d=0.26054 t=31290
dai tian jia 	待添加	c=1 d=0.261846 t=31290
dai wo 	帶我	c=0 d=0.0208045 t=31290
dai yi hui 	待一會	c=1 d=0.869358 t=31290
dai you 	帶有	c=5 d=0.829455 t=31290
dai yu 	待遇	c=0 d=0.0151072 t=31290
dai zhe 	戴着	c=1 d=0.107528 t=31290
dai zou 	帶走	c=1 d=0.810584 t=31290
dan 	但	c=4 d=0.301056 t=31290
dan 	單	c=4 d=0.180866 t=31290
dan 	氮	c=3 d=0.293758 t=31290
dan 	蛋	c=0 d=0.000782838 t=31290
dan bi 	單臂	c=1 d=0.000147748 t=31290
dan bo 	單播	c=2 d=0.798516 t=31290
dan bo di zhi 	單播地址	c=1 d=0.0155297 t=31290
dan ci 	單次	c=1 d=0.282239 t=31290
dan ci 	單詞	c=2 d=1.8509 t=31290
dan dan 	單單	c=0 d=0.00761538 t=31290
dan dan zhe ge tu 	單單這個圖	c=1 d=0.0765355 t=31290
dan du 	單獨	c=9 d=0.578909 t=31290
dan fen 	淡粉	c=1 d=0.465334 t=31290
dan hang 	單行	c=1 d=1 t=30420
dan jian yi 	但建議	c=1 d=0.0728029 t=31290
dan jie shou tian xian 	單接收天線	c=1 d=7.32052e-08 t=31290
dan jing 	單靜	c=4 d=1.08417 t=31290
dan liu 	單流	c=11 d=7.18058e-07 t=31290
dan shi 	但是	c=60 d=2.36909 t=31290
dan shi qu na zhao 	但是去哪找	c=1 d=0.22313 t=31290
dan shi wo xian zai 	但是我現在	c=1 d=0.00321477 t=31290
dan shu chu 	單輸出	c=1 d=6.52748e-12 t=31290
dan shu ru 	單輸入	c=1 d=6.49493e-12 t=31290
dan tian xian 	單天線	c=5 d=2.97529e-05 t=31290
dan tian xian he duo tian xian 	單天線和多天線	c=1 d=0.00029902 t=31290
dan wang ka 	單網卡	c=1 d=0.0513033 t=31290
dan wei 	但未	c=0 d=0.0146607 t=31290
dan wei 	單位	c=3 d=0.00212812 t=31290
